"","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"Norton Pt., MV, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Pattersquash I., Brookhaven, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Penikese I., Gosnold, MA",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771
"Ram I., Mattapoisett, MA",0.822,0.822,0.822,0.768821486530347,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.841,0.841
"Sexton I., Islip, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Shore Rock, Ocean Pt., CT",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Smith Point, Nantucket, Ma",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Tuxis I., CT",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Warner Is., Southampton, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"West End Jones Beach, Hempstead, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
"Young’s I., Smithtown, NY",0.828545554335895,0.827540925266904,0.82792324641939,0.768821486530347,0.82669582992641,0.825302932904781,0.822874951456311,0.824081811263318,0.821397048730268,0.818790274561694,0.816086102282577,0.816058872077029,0.828501754385965,0.827612855007474,0.828945160224645,0.823260830860534,0.829315789473684,0.827359323280618,0.826872208862934,0.826202010968921,0.826749907373101
